YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,2,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,46786
2001,2,CA,"Electric Generators, Independent Power Producers",Wind,147329
2001,2,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,12423
2001,2,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,132672
2001,2,CA,"Electric Generators, Independent Power Producers",Geothermal,951209
2001,2,CA,"Electric Generators, Independent Power Producers",Other Biomass,126515
2001,2,CA,"Electric Generators, Independent Power Producers",Other,15686
2001,2,CA,"Electric Generators, Independent Power Producers",Total,7019279
2001,2,CA,"Combined Heat and Power, Electric Power",Coal,147358
2001,2,CA,"Combined Heat and Power, Electric Power",Petroleum,64481
2001,2,CA,"Combined Heat and Power, Electric Power",Natural Gas,1354833
2001,2,CA,"Combined Heat and Power, Electric Power",Other Gases,4
2001,2,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,11300
2001,2,CA,"Combined Heat and Power, Electric Power",Other Biomass,6093
2001,2,CA,"Combined Heat and Power, Electric Power",Other,58
2001,2,CA,"Combined Heat and Power, Electric Power",Total,1584127
2001,2,CA,"Combined Heat and Power, Commercial Power",Petroleum,77
2001,2,CA,"Combined Heat and Power, Commercial Power",Natural Gas,126686
2001,2,CA,"Combined Heat and Power, Commercial Power",Other Gases,2
2001,2,CA,"Combined Heat and Power, Commercial Power",Other Biomass,18049
2001,2,CA,"Combined Heat and Power, Commercial Power",Total,144814
2001,2,CA,"Combined Heat and Power, Industrial Power",Coal,36783
2001,2,CA,"Combined Heat and Power, Industrial Power",Petroleum,50510
2001,2,CA,"Combined Heat and Power, Industrial Power",Natural Gas,943085
2001,2,CA,"Combined Heat and Power, Industrial Power",Other Gases,101834
2001,2,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,81465
2001,2,CA,"Combined Heat and Power, Industrial Power",Other Biomass,1850
2001,2,CA,"Combined Heat and Power, Industrial Power",Other,1558
2001,2,CA,"Combined Heat and Power, Industrial Power",Total,1217085
2001,3,CA,Total Electric Power Industry,Coal,102496
2001,3,CA,Total Electric Power Industry,Petroleum,283278
2001,3,CA,Total Electric Power Industry,Natural Gas,9474176
2001,3,CA,Total Electric Power Industry,Other Gases,103127
2001,3,CA,Total Electric Power Industry,Nuclear,2468625
2001,3,CA,Total Electric Power Industry,Hydroelectric Conventional,1764772
2001,3,CA,Total Electric Power Industry,Wind,299944
2001,3,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,31498
2001,3,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,229762
2001,3,CA,Total Electric Power Industry,Geothermal,1052634
2001,3,CA,Total Electric Power Industry,Other Biomass,174487
2001,3,CA,Total Electric Power Industry,Pumped Storage,-152658
2001,3,CA,Total Electric Power Industry,Other,16492
2001,3,CA,Total Electric Power Industry,Total,15848633
2001,3,CA,"Electric Generators, Electric Utilities",Petroleum,39890
2001,3,CA,"Electric Generators, Electric Utilities",Natural Gas,1058140
2001,3,CA,"Electric Generators, Electric Utilities",Nuclear,2468625
2001,3,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1687774
2001,3,CA,"Electric Generators, Electric Utilities",Wind,518
2001,3,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,248
2001,3,CA,"Electric Generators, Electric Utilities",Geothermal,-40
2001,3,CA,"Electric Generators, Electric Utilities",Other Biomass,16960
2001,3,CA,"Electric Generators, Electric Utilities",Pumped Storage,-152658
2001,3,CA,"Electric Generators, Electric Utilities",Total,5119457
2001,3,CA,"Electric Generators, Independent Power Producers",Petroleum,143795
2001,3,CA,"Electric Generators, Independent Power Producers",Natural Gas,6368376
2001,3,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,3,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,76998
2001,3,CA,"Electric Generators, Independent Power Producers",Wind,299426
2001,3,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,31250
2001,3,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,136248
2001,3,CA,"Electric Generators, Independent Power Producers",Geothermal,1052674
2001,3,CA,"Electric Generators, Independent Power Producers",Other Biomass,129983
2001,3,CA,"Electric Generators, Independent Power Producers",Other,15202
2001,3,CA,"Electric Generators, Independent Power Producers",Total,8253952
2001,3,CA,"Combined Heat and Power, Electric Power",Coal,59999
2001,3,CA,"Combined Heat and Power, Electric Power",Petroleum,49098
2001,3,CA,"Combined Heat and Power, Electric Power",Natural Gas,921819
2001,3,CA,"Combined Heat and Power, Electric Power",Other Gases,53
2001,3,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,9226
2001,3,CA,"Combined Heat and Power, Electric Power",Other Biomass,6560
2001,3,CA,"Combined Heat and Power, Electric Power",Other,55
2001,3,CA,"Combined Heat and Power, Electric Power",Total,1046810
2001,3,CA,"Combined Heat and Power, Commercial Power",Petroleum,77
2001,3,CA,"Combined Heat and Power, Commercial Power",Natural Gas,116623
2001,3,CA,"Combined Heat and Power, Commercial Power",Other Gases,0
2001,3,CA,"Combined Heat and Power, Commercial Power",Other Biomass,18992
2001,3,CA,"Combined Heat and Power, Commercial Power",Total,135692
2001,3,CA,"Combined Heat and Power, Industrial Power",Coal,42497
2001,3,CA,"Combined Heat and Power, Industrial Power",Petroleum,50418
2001,3,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1009218
2001,3,CA,"Combined Heat and Power, Industrial Power",Other Gases,103074
2001,3,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,84288
2001,3,CA,"Combined Heat and Power, Industrial Power",Other Biomass,1992
2001,3,CA,"Combined Heat and Power, Industrial Power",Other,1235
2001,3,CA,"Combined Heat and Power, Industrial Power",Total,1292722
2001,4,CA,Total Electric Power Industry,Coal,205590
2001,4,CA,Total Electric Power Industry,Petroleum,252218
2001,4,CA,Total Electric Power Industry,Natural Gas,9208768
2001,4,CA,Total Electric Power Industry,Other Gases,92264
2001,4,CA,Total Electric Power Industry,Nuclear,2318671
2001,4,CA,Total Electric Power Industry,Hydroelectric Conventional,2096459
2001,4,CA,Total Electric Power Industry,Wind,392673
2001,4,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,38722
2001,4,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,240271
2001,4,CA,Total Electric Power Industry,Geothermal,966038
2001,4,CA,Total Electric Power Industry,Other Biomass,159790
2001,4,CA,Total Electric Power Industry,Pumped Storage,-143867
2001,4,CA,Total Electric Power Industry,Other,13421
2001,4,CA,Total Electric Power Industry,Total,15841018
2001,4,CA,"Electric Generators, Electric Utilities",Petroleum,38315
2001,4,CA,"Electric Generators, Electric Utilities",Natural Gas,1060100
2001,4,CA,"Electric Generators, Electric Utilities",Nuclear,2318671
2001,4,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,2007084
2001,4,CA,"Electric Generators, Electric Utilities",Wind,632
2001,4,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,251
2001,4,CA,"Electric Generators, Electric Utilities",Geothermal,-38
2001,4,CA,"Electric Generators, Electric Utilities",Other Biomass,17077
2001,4,CA,"Electric Generators, Electric Utilities",Pumped Storage,-143867
2001,4,CA,"Electric Generators, Electric Utilities",Total,5298225
2001,4,CA,"Electric Generators, Independent Power Producers",Petroleum,111508
2001,4,CA,"Electric Generators, Independent Power Producers",Natural Gas,6030267
2001,4,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,4,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,89375
2001,4,CA,"Electric Generators, Independent Power Producers",Wind,392041
2001,4,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,38471
2001,4,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,139547
2001,4,CA,"Electric Generators, Independent Power Producers",Geothermal,966076
2001,4,CA,"Electric Generators, Independent Power Producers",Other Biomass,115773
2001,4,CA,"Electric Generators, Independent Power Producers",Other,12848
2001,4,CA,"Electric Generators, Independent Power Producers",Total,7895906
2001,4,CA,"Combined Heat and Power, Electric Power",Coal,164507
2001,4,CA,"Combined Heat and Power, Electric Power",Petroleum,59531
2001,4,CA,"Combined Heat and Power, Electric Power",Natural Gas,979792
2001,4,CA,"Combined Heat and Power, Electric Power",Other Gases,193
2001,4,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,11944
2001,4,CA,"Combined Heat and Power, Electric Power",Other Biomass,6453
2001,4,CA,"Combined Heat and Power, Electric Power",Other,55
2001,4,CA,"Combined Heat and Power, Electric Power",Total,1222475
2001,4,CA,"Combined Heat and Power, Commercial Power",Petroleum,64
2001,4,CA,"Combined Heat and Power, Commercial Power",Natural Gas,136577
2001,4,CA,"Combined Heat and Power, Commercial Power",Other Gases,0
2001,4,CA,"Combined Heat and Power, Commercial Power",Other Biomass,18527
2001,4,CA,"Combined Heat and Power, Commercial Power",Total,155168
2001,4,CA,"Combined Heat and Power, Industrial Power",Coal,41083
2001,4,CA,"Combined Heat and Power, Industrial Power",Petroleum,42800
2001,4,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1002032
2001,4,CA,"Combined Heat and Power, Industrial Power",Other Gases,92071
2001,4,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,88780
2001,4,CA,"Combined Heat and Power, Industrial Power",Other Biomass,1960
2001,4,CA,"Combined Heat and Power, Industrial Power",Other,518
2001,4,CA,"Combined Heat and Power, Industrial Power",Total,1269244
2001,5,CA,Total Electric Power Industry,Coal,200475
2001,5,CA,Total Electric Power Industry,Petroleum,271196
2001,5,CA,Total Electric Power Industry,Natural Gas,9698874
2001,5,CA,Total Electric Power Industry,Other Gases,108042
2001,5,CA,Total Electric Power Industry,Nuclear,1667926
2001,5,CA,Total Electric Power Industry,Hydroelectric Conventional,3045222
2001,5,CA,Total Electric Power Industry,Wind,377618
2001,5,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,81010
2001,5,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,237636
2001,5,CA,Total Electric Power Industry,Geothermal,960339
2001,5,CA,Total Electric Power Industry,Other Biomass,175365
2001,5,CA,Total Electric Power Industry,Pumped Storage,34607
2001,5,CA,Total Electric Power Industry,Other,16194
2001,5,CA,Total Electric Power Industry,Total,16874504
2001,5,CA,"Electric Generators, Electric Utilities",Petroleum,53260
2001,5,CA,"Electric Generators, Electric Utilities",Natural Gas,1093051
2001,5,CA,"Electric Generators, Electric Utilities",Nuclear,1667926
2001,5,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,2954266
2001,5,CA,"Electric Generators, Electric Utilities",Wind,711
2001,5,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,369
2001,5,CA,"Electric Generators, Electric Utilities",Geothermal,-31
2001,5,CA,"Electric Generators, Electric Utilities",Other Biomass,15233
2001,5,CA,"Electric Generators, Electric Utilities",Pumped Storage,34607
2001,5,CA,"Electric Generators, Electric Utilities",Total,5819392
2001,5,CA,"Electric Generators, Independent Power Producers",Petroleum,112852
2001,5,CA,"Electric Generators, Independent Power Producers",Natural Gas,5945073
2001,5,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,5,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,90956
2001,5,CA,"Electric Generators, Independent Power Producers",Wind,376907
2001,5,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,80641
2001,5,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,108330
2001,5,CA,"Electric Generators, Independent Power Producers",Geothermal,960370
2001,5,CA,"Electric Generators, Independent Power Producers",Other Biomass,131729
2001,5,CA,"Electric Generators, Independent Power Producers",Other,13778
2001,5,CA,"Electric Generators, Independent Power Producers",Total,7820636
2001,5,CA,"Combined Heat and Power, Electric Power",Coal,157957
2001,5,CA,"Combined Heat and Power, Electric Power",Petroleum,56040
2001,5,CA,"Combined Heat and Power, Electric Power",Natural Gas,1451910
2001,5,CA,"Combined Heat and Power, Electric Power",Other Gases,0
2001,5,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,15972
2001,5,CA,"Combined Heat and Power, Electric Power",Other Biomass,6766
2001,5,CA,"Combined Heat and Power, Electric Power",Other,63
2001,5,CA,"Combined Heat and Power, Electric Power",Total,1688708
2001,5,CA,"Combined Heat and Power, Commercial Power",Petroleum,66
2001,5,CA,"Combined Heat and Power, Commercial Power",Natural Gas,135815
2001,5,CA,"Combined Heat and Power, Commercial Power",Other Gases,0
2001,5,CA,"Combined Heat and Power, Commercial Power",Other Biomass,19583
2001,5,CA,"Combined Heat and Power, Commercial Power",Total,155464
2001,5,CA,"Combined Heat and Power, Industrial Power",Coal,42518
2001,5,CA,"Combined Heat and Power, Industrial Power",Petroleum,48978
2001,5,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1073025
2001,5,CA,"Combined Heat and Power, Industrial Power",Other Gases,108042
2001,5,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,113334
2001,5,CA,"Combined Heat and Power, Industrial Power",Other Biomass,2054
2001,5,CA,"Combined Heat and Power, Industrial Power",Other,2353
2001,5,CA,"Combined Heat and Power, Industrial Power",Total,1390304
2001,6,CA,Total Electric Power Industry,Coal,215798
2001,6,CA,Total Electric Power Industry,Petroleum,225416
2001,6,CA,Total Electric Power Industry,Natural Gas,9350107
2001,6,CA,Total Electric Power Industry,Other Gases,99957
2001,6,CA,Total Electric Power Industry,Nuclear,3100798
2001,6,CA,Total Electric Power Industry,Hydroelectric Conventional,3053895
2001,6,CA,Total Electric Power Industry,Wind,438403
2001,6,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,91086
2001,6,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,316022
2001,6,CA,Total Electric Power Industry,Geothermal,960209
2001,6,CA,Total Electric Power Industry,Other Biomass,177255
2001,6,CA,Total Electric Power Industry,Pumped Storage,24596
2001,6,CA,Total Electric Power Industry,Other,18235
2001,6,CA,Total Electric Power Industry,Total,18071777
2001,6,CA,"Electric Generators, Electric Utilities",Petroleum,39854
2001,6,CA,"Electric Generators, Electric Utilities",Natural Gas,988168
2001,6,CA,"Electric Generators, Electric Utilities",Nuclear,3100798
2001,6,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3001436
2001,6,CA,"Electric Generators, Electric Utilities",Wind,881
2001,6,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,353
2001,6,CA,"Electric Generators, Electric Utilities",Geothermal,-30
2001,6,CA,"Electric Generators, Electric Utilities",Other Biomass,16994
2001,6,CA,"Electric Generators, Electric Utilities",Pumped Storage,24596
2001,6,CA,"Electric Generators, Electric Utilities",Total,7173050
2001,6,CA,"Electric Generators, Independent Power Producers",Petroleum,74757
2001,6,CA,"Electric Generators, Independent Power Producers",Natural Gas,5608237
2001,6,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,6,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,52459
2001,6,CA,"Electric Generators, Independent Power Producers",Wind,437522
2001,6,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,90733
2001,6,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,191222
2001,6,CA,"Electric Generators, Independent Power Producers",Geothermal,960239
2001,6,CA,"Electric Generators, Independent Power Producers",Other Biomass,132771
2001,6,CA,"Electric Generators, Independent Power Producers",Other,17031
2001,6,CA,"Electric Generators, Independent Power Producers",Total,7564971
2001,6,CA,"Combined Heat and Power, Electric Power",Coal,173835
2001,6,CA,"Combined Heat and Power, Electric Power",Petroleum,63747
2001,6,CA,"Combined Heat and Power, Electric Power",Natural Gas,1562443
2001,6,CA,"Combined Heat and Power, Electric Power",Other Gases,66
2001,6,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,17159
2001,6,CA,"Combined Heat and Power, Electric Power",Other Biomass,6661
2001,6,CA,"Combined Heat and Power, Electric Power",Other,65
2001,6,CA,"Combined Heat and Power, Electric Power",Total,1823976
2001,6,CA,"Combined Heat and Power, Commercial Power",Petroleum,62
2001,6,CA,"Combined Heat and Power, Commercial Power",Natural Gas,119604
2001,6,CA,"Combined Heat and Power, Commercial Power",Other Gases,4
2001,6,CA,"Combined Heat and Power, Commercial Power",Other Biomass,18806
2001,6,CA,"Combined Heat and Power, Commercial Power",Total,138476
2001,6,CA,"Combined Heat and Power, Industrial Power",Coal,41963
2001,6,CA,"Combined Heat and Power, Industrial Power",Petroleum,46996
2001,6,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1071655
2001,6,CA,"Combined Heat and Power, Industrial Power",Other Gases,99887
