status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,1129000,2,2,,"85 E India Row Apt 14G, Boston, MA, 02110",85 E India Row Apt 14G,Boston,Massachusetts,2110,1213,5/16/18
for_sale,539900,2,3,,"260 Captain Eames Cir Unit 260, Ashland, MA, 01721",260 Captain Eames Cir Unit 260,Ashland,Massachusetts,1721,2019,11/15/21
for_sale,379000,2,1,0.01,"777 Lagrange St Apt 5, Boston, MA, 02132",777 Lagrange St Apt 5,Boston,Massachusetts,2132,615,3/8/19
for_sale,729000,3,2,,"65 Highland St Unit 2, Roxbury, MA, 02119",65 Highland St Unit 2,Roxbury,Massachusetts,2119,1540,5/20/20
for_sale,685000,2,1,0.02,"194 E St Apt 1, Boston, MA, 02127",194 E St Apt 1,Boston,Massachusetts,2127,800,5/30/18
for_sale,5450000,4,4,,"16 Exeter St Unit 1, Boston, MA, 02116",16 Exeter St Unit 1,Boston,Massachusetts,2116,3882,10/12/21
for_sale,929000,1,1,0.02,"141 Dorchester Ave Unit 507, Boston, MA, 02127",141 Dorchester Ave Unit 507,Boston,Massachusetts,2127,1087,8/1/13
for_sale,499990,2,2,,"30 E Bluff Rd Unit 30, Ashland, MA, 01721",30 E Bluff Rd Unit 30,Ashland,Massachusetts,1721,2112,2/21/20
for_sale,414000,2,1,,"404 Meridian St Apt 1, Boston, MA, 02128",404 Meridian St Apt 1,Boston,Massachusetts,2128,635,6/4/21
for_sale,550000,2,2,,"37 Winnisimmet St Apt 6, Chelsea, MA, 02150",37 Winnisimmet St Apt 6,Chelsea,Massachusetts,2150,1468,7/3/18
for_sale,369900,1,1,,"125 Trapelo Rd Apt 20, Belmont, MA, 02478",125 Trapelo Rd Apt 20,Belmont,Massachusetts,2478,527,5/4/10
for_sale,449000,2,1,,"47 Mystic St Apt 1E, Arlington, MA, 02474",47 Mystic St Apt 1E,Arlington,Massachusetts,2474,959,6/5/20
for_sale,1649000,4,3,,"123 Saint Paul St Apt 2, Brookline, MA, 02446",123 Saint Paul St Apt 2,Brookline,Massachusetts,2446,2320,7/13/11
for_sale,799900,1,1,,"135 Willow Ave Apt 4, Somerville, MA, 02144",135 Willow Ave Apt 4,Somerville,Massachusetts,2144,925,6/26/14
for_sale,859900,1,1,,"127 Beacon St Unit 51, Boston, MA, 02116",127 Beacon St Unit 51,Boston,Massachusetts,2116,649,11/9/18
for_sale,2950000,2,3,,"1 Avery St Apt 31D, Boston, MA, 02111",1 Avery St Apt 31D,Boston,Massachusetts,2111,2036,6/21/18
